id,text,intent,author
91,Tell me the price of the laptop,price_query,user
92,What is the price of this product?,price_query,user
93,What is the price of this product?,price_query,user
94,How much do I need to pay?,price_query,user
95,How much do I need to pay?,price_query,user
96,How much does this cost?,price_query,user
97,What is the cost of this item?,price_query,user
98,What is the cost of this item?,price_query,user
99,How much do I need to pay?,price_query,user
100,How much do I need to pay?,price_query,user
101,What is the cost of this item?,price_query,user
102,How much do I need to pay?,price_query,user
103,How much do I need to pay?,price_query,user
104,What is the cost of this item?,price_query,user
105,How much do I need to pay?,price_query,user
106,How much do I need to pay?,price_query,user
107,Tell me the price of the laptop,price_query,user
108,Tell me the price of the laptop,price_query,user
109,How much do I need to pay?,price_query,user
110,What is the cost of this item?,price_query,user
111,What is the cost of this item?,price_query,user
112,Tell me the price of the laptop,price_query,user
113,What is the cost of this item?,price_query,user
114,How much do I need to pay?,price_query,user
115,What is the cost of this item?,price_query,user
116,How much does this cost?,price_query,user
117,What is the price of this product?,price_query,user
118,What is the cost of this item?,price_query,user
119,How much do I need to pay?,price_query,user
120,How much does this cost?,price_query,user
121,What is the price of this product?,price_query,user
122,What is the cost of this item?,price_query,user
123,What is the price of this product?,price_query,user
124,How much does this cost?,price_query,user
125,Tell me the price of the laptop,price_query,user
126,How much do I need to pay?,price_query,user
127,Tell me the price of the laptop,price_query,user
128,What is the cost of this item?,price_query,user
129,How much does this cost?,price_query,user
130,How much do I need to pay?,price_query,user
131,What is the price of this product?,price_query,user
132,Tell me the price of the laptop,price_query,user
133,How much does this cost?,price_query,user
134,How much do I need to pay?,price_query,user
135,What is the price of this product?,price_query,user
136,What is the price of this product?,price_query,user
137,How much does this cost?,price_query,user
138,What is the cost of this item?,price_query,user
139,What is the price of this product?,price_query,user
140,How much does this cost?,price_query,user
141,Tell me the price of the laptop,price_query,user
142,Tell me the price of the laptop,price_query,user
143,What is the cost of this item?,price_query,user
144,How much do I need to pay?,price_query,user
145,How much does this cost?,price_query,user
146,How much do I need to pay?,price_query,user
147,What is the cost of this item?,price_query,user
148,How much do I need to pay?,price_query,user
149,How much do I need to pay?,price_query,user
150,What is the price of this product?,price_query,user
151,How much does this cost?,price_query,user
152,What is the price of this product?,price_query,user
153,How much do I need to pay?,price_query,user
154,How much do I need to pay?,price_query,user
155,What is the cost of this item?,price_query,user
156,What is the cost of this item?,price_query,user
157,What is the price of this product?,price_query,user
158,How much does this cost?,price_query,user
159,How much do I need to pay?,price_query,user
160,What is the price of this product?,price_query,user
161,Tell me the price of the laptop,price_query,user
162,What is the price of this product?,price_query,user
163,Tell me the price of the laptop,price_query,user
164,Tell me the price of the laptop,price_query,user
165,What is the cost of this item?,price_query,user
166,Tell me the price of the laptop,price_query,user
167,How much does this cost?,price_query,user
168,How much does this cost?,price_query,user
169,What is the price of this product?,price_query,user
170,How much does this cost?,price_query,user
171,How much does this cost?,price_query,user
172,Tell me the price of the laptop,price_query,user
173,How much does this cost?,price_query,user
174,How much do I need to pay?,price_query,user
175,Tell me the price of the laptop,price_query,user
176,What is the price of this product?,price_query,user
177,What is the price of this product?,price_query,user
178,What is the cost of this item?,price_query,user
179,What is the cost of this item?,price_query,user
180,How much does this cost?,price_query,user
181,Tell me the price of the laptop,price_query,user
182,Tell me the price of the laptop,price_query,user
183,How much does this cost?,price_query,user
184,What is the price of this product?,price_query,user
185,What is the cost of this item?,price_query,user
186,How much does this cost?,price_query,user
187,Tell me the price of the laptop,price_query,user
188,Tell me the price of the laptop,price_query,user
189,What is the cost of this item?,price_query,user
190,How much do I need to pay?,price_query,user
191,Tell me the price of the laptop,price_query,user
192,How much does this cost?,price_query,user
193,What is the cost of this item?,price_query,user
194,How much does this cost?,price_query,user
195,Tell me the price of the laptop,price_query,user
196,Tell me the price of the laptop,price_query,user
197,How much do I need to pay?,price_query,user
198,How much do I need to pay?,price_query,user
199,How much do I need to pay?,price_query,user
200,What is the cost of this item?,price_query,user
201,Tell me the price of the laptop,price_query,user
202,Tell me the price of the laptop,price_query,user
203,Tell me the price of the laptop,price_query,user
204,Tell me the price of the laptop,price_query,user
205,What is the cost of this item?,price_query,user
206,How much does this cost?,price_query,user
207,How much do I need to pay?,price_query,user
208,How much do I need to pay?,price_query,user
209,What is the price of this product?,price_query,user
210,What is the price of this product?,price_query,user
211,What is the price of this product?,price_query,user
212,How much does this cost?,price_query,user
213,How much does this cost?,price_query,user
214,Tell me the price of the laptop,price_query,user
215,What is the cost of this item?,price_query,user
216,How much do I need to pay?,price_query,user
217,How much do I need to pay?,price_query,user
218,How much does this cost?,price_query,user
219,What is the price of this product?,price_query,user
220,Tell me the price of the laptop,price_query,user
221,What is the price of this product?,price_query,user
222,How much does this cost?,price_query,user
223,What is the price of this product?,price_query,user
224,How much do I need to pay?,price_query,user
225,Tell me the price of the laptop,price_query,user
226,Tell me the price of the laptop,price_query,user
227,How much do I need to pay?,price_query,user
228,What is the price of this product?,price_query,user
229,How much does this cost?,price_query,user
230,How much does this cost?,price_query,user
231,How much do I need to pay?,price_query,user
232,How much does this cost?,price_query,user
233,What is the price of this product?,price_query,user
234,What is the cost of this item?,price_query,user
235,How much does this cost?,price_query,user
236,Tell me the price of the laptop,price_query,user
237,How much does this cost?,price_query,user
238,What is the cost of this item?,price_query,user
239,What is the cost of this item?,price_query,user
240,Tell me the price of the laptop,price_query,user
241,Tell me the price of the laptop,price_query,user
242,What is the price of this product?,price_query,user
243,What is the price of this product?,price_query,user
244,What is the cost of this item?,price_query,user
245,Tell me the price of the laptop,price_query,user
246,How much does this cost?,price_query,user
247,Tell me the price of the laptop,price_query,user
248,What is the cost of this item?,price_query,user
249,Tell me the price of the laptop,price_query,user
250,What is the price of this product?,price_query,user
251,What is the cost of this item?,price_query,user
252,Tell me the price of the laptop,price_query,user
253,How much do I need to pay?,price_query,user
254,Tell me the price of the laptop,price_query,user
255,Tell me the price of the laptop,price_query,user
256,What is the price of this product?,price_query,user
257,What is the cost of this item?,price_query,user
258,How much do I need to pay?,price_query,user
259,How much do I need to pay?,price_query,user
260,How much does this cost?,price_query,user
261,How much does this cost?,price_query,user
262,What is the cost of this item?,price_query,user
263,What is the price of this product?,price_query,user
264,What is the price of this product?,price_query,user
265,What is the cost of this item?,price_query,user
266,Tell me the price of the laptop,price_query,user
267,How much does this cost?,price_query,user
268,How much do I need to pay?,price_query,user
269,How much does this cost?,price_query,user
270,Tell me the price of the laptop,price_query,user
271,What is the cost of this item?,price_query,user
272,What is the cost of this item?,price_query,user
273,Tell me the price of the laptop,price_query,user
274,What is the price of this product?,price_query,user
275,What is the price of this product?,price_query,user
276,How much do I need to pay?,price_query,user
277,What is the price of this product?,price_query,user
278,Tell me the price of the laptop,price_query,user
279,How much does this cost?,price_query,user
280,How much does this cost?,price_query,user
281,Tell me the price of the laptop,price_query,user
282,How much does this cost?,price_query,user
283,What is the price of this product?,price_query,user
284,How much does this cost?,price_query,user
285,Tell me the price of the laptop,price_query,user
286,What is the price of this product?,price_query,user
287,What is the cost of this item?,price_query,user
288,What is the price of this product?,price_query,user
289,How much does this cost?,price_query,user
290,What is the cost of this item?,price_query,user
291,How much do I need to pay?,price_query,user
292,How much do I need to pay?,price_query,user
293,How much do I need to pay?,price_query,user
294,What is the price of this product?,price_query,user
295,What is the price of this product?,price_query,user
296,Tell me the price of the laptop,price_query,user
297,What is the price of this product?,price_query,user
298,What is the price of this product?,price_query,user
299,How much does this cost?,price_query,user
300,How much do I need to pay?,price_query,user
301,How much do I need to pay?,price_query,user
302,How much do I need to pay?,price_query,user
303,Tell me the price of the laptop,price_query,user
304,What is the cost of this item?,price_query,user
305,Tell me the price of the laptop,price_query,user
306,What is the cost of this item?,price_query,user
307,What is the cost of this item?,price_query,user
308,Tell me the price of the laptop,price_query,user
309,What is the cost of this item?,price_query,user
310,What is the cost of this item?,price_query,user
311,Tell me the price of the laptop,price_query,user
312,What is the price of this product?,price_query,user
313,What is the cost of this item?,price_query,user
314,How much do I need to pay?,price_query,user
315,What is the cost of this item?,price_query,user
316,Tell me the price of the laptop,price_query,user
317,How much do I need to pay?,price_query,user
318,What is the cost of this item?,price_query,user
319,What is the cost of this item?,price_query,user
320,Tell me the price of the laptop,price_query,user
321,What is the price of this product?,price_query,user
322,How much do I need to pay?,price_query,user
323,Tell me the price of the laptop,price_query,user
324,How much do I need to pay?,price_query,user
325,How much do I need to pay?,price_query,user
326,What is the price of this product?,price_query,user
327,What is the price of this product?,price_query,user
328,Tell me the price of the laptop,price_query,user
329,What is the cost of this item?,price_query,user
330,How much does this cost?,price_query,user
331,How much does this cost?,price_query,user
332,Tell me the price of the laptop,price_query,user
333,What is the price of this product?,price_query,user
334,How much does this cost?,price_query,user
335,Tell me the price of the laptop,price_query,user
336,Tell me the price of the laptop,price_query,user
337,How much does this cost?,price_query,user
338,How much do I need to pay?,price_query,user
339,Tell me the price of the laptop,price_query,user
340,How much do I need to pay?,price_query,user
341,How much does this cost?,price_query,user
342,Tell me the price of the laptop,price_query,user
343,How much do I need to pay?,price_query,user
344,How much does this cost?,price_query,user
345,How much does this cost?,price_query,user
346,What is the cost of this item?,price_query,user
347,What is the price of this product?,price_query,user
348,How much do I need to pay?,price_query,user
349,Tell me the price of the laptop,price_query,user
350,How much does this cost?,price_query,user
351,What is the price of this product?,price_query,user
352,What is the price of this product?,price_query,user
353,How much does this cost?,price_query,user
354,Tell me the price of the laptop,price_query,user
355,What is the price of this product?,price_query,user
356,How much do I need to pay?,price_query,user
357,Tell me the price of the laptop,price_query,user
358,How much does this cost?,price_query,user
359,What is the price of this product?,price_query,user
360,Tell me the price of the laptop,price_query,user
361,What is the price of this product?,price_query,user
362,How much do I need to pay?,price_query,user
363,What is the cost of this item?,price_query,user
364,What is the cost of this item?,price_query,user
365,How much does this cost?,price_query,user
366,What is the price of this product?,price_query,user
367,Tell me the price of the laptop,price_query,user
368,Tell me the price of the laptop,price_query,user
369,What is the price of this product?,price_query,user
370,How much do I need to pay?,price_query,user
371,How much does this cost?,price_query,user
372,Tell me the price of the laptop,price_query,user
373,How much do I need to pay?,price_query,user
374,What is the price of this product?,price_query,user
375,What is the cost of this item?,price_query,user
376,How much does this cost?,price_query,user
377,How much does this cost?,price_query,user
378,How much do I need to pay?,price_query,user
379,Tell me the price of the laptop,price_query,user
380,How much do I need to pay?,price_query,user
381,How much does this cost?,price_query,user
382,Tell me the price of the laptop,price_query,user
383,How much do I need to pay?,price_query,user
384,How much do I need to pay?,price_query,user
385,How much do I need to pay?,price_query,user
386,How much do I need to pay?,price_query,user
387,How much does this cost?,price_query,user
388,Tell me the price of the laptop,price_query,user
389,Tell me the price of the laptop,price_query,user
390,Tell me the price of the laptop,price_query,user
391,Tell me the price of the laptop,price_query,user
392,What is the cost of this item?,price_query,user
393,Tell me the price of the laptop,price_query,user
394,Tell me the price of the laptop,price_query,user
395,Tell me the price of the laptop,price_query,user
396,What is the price of this product?,price_query,user
397,How much does this cost?,price_query,user
398,How much do I need to pay?,price_query,user
399,How much does this cost?,price_query,user
400,What is the cost of this item?,price_query,user
401,How much do I need to pay?,price_query,user
402,What is the price of this product?,price_query,user
403,What is the price of this product?,price_query,user
404,How much does this cost?,price_query,user
405,Tell me the price of the laptop,price_query,user
406,How much do I need to pay?,price_query,user
407,Tell me the price of the laptop,price_query,user
408,How much do I need to pay?,price_query,user
409,How much do I need to pay?,price_query,user
410,How much does this cost?,price_query,user
411,What is the price of this product?,price_query,user
412,What is the cost of this item?,price_query,user
413,What is the cost of this item?,price_query,user
414,How much do I need to pay?,price_query,user
415,How much do I need to pay?,price_query,user
416,How much do I need to pay?,price_query,user
417,Tell me the price of the laptop,price_query,user
418,What is the price of this product?,price_query,user
419,How much does this cost?,price_query,user
420,What is the cost of this item?,price_query,user
421,How much do I need to pay?,price_query,user
422,What is the price of this product?,price_query,user
423,What is the cost of this item?,price_query,user
424,How much do I need to pay?,price_query,user
425,What is the cost of this item?,price_query,user
426,How much do I need to pay?,price_query,user
427,What is the price of this product?,price_query,user
428,What is the price of this product?,price_query,user
429,How much does this cost?,price_query,user
430,What is the cost of this item?,price_query,user
431,What is the cost of this item?,price_query,user
432,How much do I need to pay?,price_query,user
433,What is the price of this product?,price_query,user
434,Tell me the price of the laptop,price_query,user
435,What is the cost of this item?,price_query,user
436,Tell me the price of the laptop,price_query,user
437,What is the cost of this item?,price_query,user
438,Tell me the price of the laptop,price_query,user
439,How much do I need to pay?,price_query,user
440,How much does this cost?,price_query,user
441,How much does this cost?,price_query,user
442,How much does this cost?,price_query,user
443,How much do I need to pay?,price_query,user
444,How much does this cost?,price_query,user
445,What is the price of this product?,price_query,user
446,Tell me the price of the laptop,price_query,user
447,How much does this cost?,price_query,user
448,What is the cost of this item?,price_query,user
449,How much do I need to pay?,price_query,user
450,What is the cost of this item?,price_query,user
451,What is the cost of this item?,price_query,user
452,Tell me the price of the laptop,price_query,user
453,Tell me the price of the laptop,price_query,user
454,What is the price of this product?,price_query,user
455,How much do I need to pay?,price_query,user
456,What is the price of this product?,price_query,user
457,How much does this cost?,price_query,user
458,Tell me the price of the laptop,price_query,user
459,How much do I need to pay?,price_query,user
460,What is the cost of this item?,price_query,user
461,Tell me the price of the laptop,price_query,user
462,How much do I need to pay?,price_query,user
463,What is the cost of this item?,price_query,user
464,What is the cost of this item?,price_query,user
465,Tell me the price of the laptop,price_query,user
466,What is the cost of this item?,price_query,user
467,How much does this cost?,price_query,user
468,What is the price of this product?,price_query,user
469,Tell me the price of the laptop,price_query,user
470,What is the cost of this item?,price_query,user
471,Tell me the price of the laptop,price_query,user
472,How much does this cost?,price_query,user
473,How much do I need to pay?,price_query,user
474,What is the price of this product?,price_query,user
475,What is the price of this product?,price_query,user
476,What is the price of this product?,price_query,user
477,How much does this cost?,price_query,user
478,What is the price of this product?,price_query,user
479,Tell me the price of the laptop,price_query,user
480,What is the cost of this item?,price_query,user
481,How much do I need to pay?,price_query,user
482,How much does this cost?,price_query,user
483,Tell me the price of the laptop,price_query,user
484,How much does this cost?,price_query,user
485,What is the cost of this item?,price_query,user
486,What is the cost of this item?,price_query,user
487,How much do I need to pay?,price_query,user
488,How much do I need to pay?,price_query,user
489,Tell me the price of the laptop,price_query,user
490,What is the price of this product?,price_query,user
491,How much does this cost?,price_query,user
492,How much does this cost?,price_query,user
493,What is the cost of this item?,price_query,user
494,What is the cost of this item?,price_query,user
495,How much do I need to pay?,price_query,user
496,What is the price of this product?,price_query,user
497,What is the cost of this item?,price_query,user
498,What is the price of this product?,price_query,user
499,How much do I need to pay?,price_query,user
500,Tell me the price of the laptop,price_query,user
501,How much do I need to pay?,price_query,user
502,How much does this cost?,price_query,user
503,Tell me the price of the laptop,price_query,user
504,How much does this cost?,price_query,user
505,Tell me the price of the laptop,price_query,user
506,What is the cost of this item?,price_query,user
507,What is the cost of this item?,price_query,user
508,What is the price of this product?,price_query,user
509,Tell me the price of the laptop,price_query,user
510,What is the price of this product?,price_query,user
511,What is the price of this product?,price_query,user
512,How much do I need to pay?,price_query,user
513,What is the cost of this item?,price_query,user
514,What is the cost of this item?,price_query,user
515,How much does this cost?,price_query,user
516,Tell me the price of the laptop,price_query,user
517,Tell me the price of the laptop,price_query,user
518,What is the cost of this item?,price_query,user
519,Tell me the price of the laptop,price_query,user
520,Tell me the price of the laptop,price_query,user
521,What is the cost of this item?,price_query,user
522,What is the price of this product?,price_query,user
523,How much do I need to pay?,price_query,user
524,How much does this cost?,price_query,user
525,How much do I need to pay?,price_query,user
526,What is the cost of this item?,price_query,user
527,How much does this cost?,price_query,user
528,What is the price of this product?,price_query,user
529,What is the price of this product?,price_query,user
530,How much does this cost?,price_query,user
531,What is the price of this product?,price_query,user
532,What is the cost of this item?,price_query,user
533,What is the price of this product?,price_query,user
534,How much do I need to pay?,price_query,user
535,What is the price of this product?,price_query,user
536,Tell me the price of the laptop,price_query,user
537,What is the cost of this item?,price_query,user
538,What is the cost of this item?,price_query,user
539,Tell me the price of the laptop,price_query,user
540,Tell me the price of the laptop,price_query,user
541,How much does this cost?,price_query,user
542,What is the cost of this item?,price_query,user
543,What is the cost of this item?,price_query,user
544,What is the cost of this item?,price_query,user
545,Tell me the price of the laptop,price_query,user
546,What is the price of this product?,price_query,user
547,What is the cost of this item?,price_query,user
548,What is the price of this product?,price_query,user
549,How much does this cost?,price_query,user
550,What is the cost of this item?,price_query,user
551,What is the price of this product?,price_query,user
552,What is the price of this product?,price_query,user
553,How much do I need to pay?,price_query,user
554,What is the price of this product?,price_query,user
555,Tell me the price of the laptop,price_query,user
556,What is the cost of this item?,price_query,user
557,What is the price of this product?,price_query,user
558,How much does this cost?,price_query,user
559,How much does this cost?,price_query,user
560,How much does this cost?,price_query,user
561,What is the cost of this item?,price_query,user
562,How much do I need to pay?,price_query,user
563,How much do I need to pay?,price_query,user
564,What is the cost of this item?,price_query,user
565,Tell me the price of the laptop,price_query,user
566,How much do I need to pay?,price_query,user
567,What is the cost of this item?,price_query,user
568,Tell me the price of the laptop,price_query,user
569,Tell me the price of the laptop,price_query,user
570,What is the cost of this item?,price_query,user
571,Tell me the price of the laptop,price_query,user
572,How much do I need to pay?,price_query,user
573,How much does this cost?,price_query,user
574,What is the cost of this item?,price_query,user
575,What is the cost of this item?,price_query,user
576,What is the cost of this item?,price_query,user
577,What is the cost of this item?,price_query,user
578,Tell me the price of the laptop,price_query,user
579,What is the price of this product?,price_query,user
580,How much does this cost?,price_query,user
581,What is the cost of this item?,price_query,user
582,How much do I need to pay?,price_query,user
583,Tell me the price of the laptop,price_query,user
584,What is the price of this product?,price_query,user
585,How much does this cost?,price_query,user
586,What is the price of this product?,price_query,user
587,What is the cost of this item?,price_query,user
588,How much do I need to pay?,price_query,user
589,How much do I need to pay?,price_query,user
590,What is the price of this product?,price_query,user
591,What is the cost of this item?,price_query,user
592,What is the cost of this item?,price_query,user
593,What is the price of this product?,price_query,user
594,Tell me the price of the laptop,price_query,user
595,How much do I need to pay?,price_query,user
596,What is the price of this product?,price_query,user
597,How much do I need to pay?,price_query,user
598,What is the cost of this item?,price_query,user
599,How much does this cost?,price_query,user
600,What is the price of this product?,price_query,user
601,How much do I need to pay?,price_query,user
602,How much does this cost?,price_query,user
603,What is the cost of this item?,price_query,user
604,How much does this cost?,price_query,user
605,Tell me the price of the laptop,price_query,user
606,How much does this cost?,price_query,user
607,Tell me the price of the laptop,price_query,user
608,Tell me the price of the laptop,price_query,user
609,Tell me the price of the laptop,price_query,user
610,What is the cost of this item?,price_query,user
611,What is the cost of this item?,price_query,user
612,How much do I need to pay?,price_query,user
613,How much does this cost?,price_query,user
614,How much does this cost?,price_query,user
615,Tell me the price of the laptop,price_query,user
616,How much does this cost?,price_query,user
617,What is the cost of this item?,price_query,user
618,What is the price of this product?,price_query,user
619,How much does this cost?,price_query,user
620,How much does this cost?,price_query,user
621,How much does this cost?,price_query,user
622,Tell me the price of the laptop,price_query,user
623,What is the cost of this item?,price_query,user
624,What is the price of this product?,price_query,user
625,What is the price of this product?,price_query,user
626,Tell me the price of the laptop,price_query,user
627,What is the cost of this item?,price_query,user
628,How much does this cost?,price_query,user
629,What is the cost of this item?,price_query,user
630,What is the cost of this item?,price_query,user
631,Tell me the price of the laptop,price_query,user
632,What is the price of this product?,price_query,user
633,Tell me the price of the laptop,price_query,user
634,Tell me the price of the laptop,price_query,user
635,How much does this cost?,price_query,user
636,How much do I need to pay?,price_query,user
637,What is the cost of this item?,price_query,user
638,How much do I need to pay?,price_query,user
639,What is the price of this product?,price_query,user
640,How much does this cost?,price_query,user
641,What is the price of this product?,price_query,user
642,What is the cost of this item?,price_query,user
643,What is the price of this product?,price_query,user
644,Tell me the price of the laptop,price_query,user
645,How much does this cost?,price_query,user
646,What is the price of this product?,price_query,user
647,How much do I need to pay?,price_query,user
648,What is the price of this product?,price_query,user
649,How much do I need to pay?,price_query,user
650,How much does this cost?,price_query,user
651,Tell me the price of the laptop,price_query,user
652,How much do I need to pay?,price_query,user
653,How much do I need to pay?,price_query,user
654,How much does this cost?,price_query,user
655,How much do I need to pay?,price_query,user
656,How much do I need to pay?,price_query,user
657,What is the cost of this item?,price_query,user
658,What is the price of this product?,price_query,user
659,How much do I need to pay?,price_query,user
660,Tell me the price of the laptop,price_query,user
661,Tell me the price of the laptop,price_query,user
662,How much does this cost?,price_query,user
663,How much do I need to pay?,price_query,user
664,What is the price of this product?,price_query,user
665,How much do I need to pay?,price_query,user
666,How much does this cost?,price_query,user
667,How much does this cost?,price_query,user
668,What is the cost of this item?,price_query,user
669,What is the price of this product?,price_query,user
670,How much does this cost?,price_query,user
671,How much do I need to pay?,price_query,user
672,What is the cost of this item?,price_query,user
673,How much do I need to pay?,price_query,user
674,Tell me the price of the laptop,price_query,user
675,Tell me the price of the laptop,price_query,user
676,How much does this cost?,price_query,user
677,How much does this cost?,price_query,user
678,What is the cost of this item?,price_query,user
679,What is the cost of this item?,price_query,user
680,How much do I need to pay?,price_query,user
681,Tell me the price of the laptop,price_query,user
682,How much do I need to pay?,price_query,user
683,Tell me the price of the laptop,price_query,user
684,What is the price of this product?,price_query,user
685,How much do I need to pay?,price_query,user
686,What is the price of this product?,price_query,user
687,Tell me the price of the laptop,price_query,user
688,What is the cost of this item?,price_query,user
689,Tell me the price of the laptop,price_query,user
690,Tell me the price of the laptop,price_query,user
691,Tell me the price of the laptop,price_query,user
692,Tell me the price of the laptop,price_query,user
693,What is the cost of this item?,price_query,user
694,What is the cost of this item?,price_query,user
695,Tell me the price of the laptop,price_query,user
696,Tell me the price of the laptop,price_query,user
697,What is the cost of this item?,price_query,user
698,What is the price of this product?,price_query,user
699,Tell me the price of the laptop,price_query,user
700,Tell me the price of the laptop,price_query,user
701,How much does this cost?,price_query,user
702,How much does this cost?,price_query,user
703,How much does this cost?,price_query,user
704,Tell me the price of the laptop,price_query,user
705,What is the cost of this item?,price_query,user
706,How much does this cost?,price_query,user
707,What is the price of this product?,price_query,user
708,What is the cost of this item?,price_query,user
709,How much does this cost?,price_query,user
710,How much does this cost?,price_query,user
711,What is the cost of this item?,price_query,user
712,What is the cost of this item?,price_query,user
713,How much do I need to pay?,price_query,user
714,What is the cost of this item?,price_query,user
715,What is the price of this product?,price_query,user
716,How much does this cost?,price_query,user
717,Tell me the price of the laptop,price_query,user
718,Tell me the price of the laptop,price_query,user
719,What is the cost of this item?,price_query,user
720,How much does this cost?,price_query,user
721,What is the cost of this item?,price_query,user
722,What is the price of this product?,price_query,user
723,What is the cost of this item?,price_query,user
724,How much does this cost?,price_query,user
725,What is the price of this product?,price_query,user
726,How much do I need to pay?,price_query,user
727,Tell me the price of the laptop,price_query,user
728,What is the price of this product?,price_query,user
729,How much does this cost?,price_query,user
730,How much do I need to pay?,price_query,user
731,How much does this cost?,price_query,user
732,What is the price of this product?,price_query,user
733,How much do I need to pay?,price_query,user
734,Tell me the price of the laptop,price_query,user
735,How much do I need to pay?,price_query,user
736,How much does this cost?,price_query,user
737,How much do I need to pay?,price_query,user
738,How much do I need to pay?,price_query,user
739,Tell me the price of the laptop,price_query,user
740,How much do I need to pay?,price_query,user
741,Tell me the price of the laptop,price_query,user
742,Tell me the price of the laptop,price_query,user
743,Tell me the price of the laptop,price_query,user
744,Tell me the price of the laptop,price_query,user
745,What is the cost of this item?,price_query,user
746,How much do I need to pay?,price_query,user
747,What is the price of this product?,price_query,user
748,How much do I need to pay?,price_query,user
749,Tell me the price of the laptop,price_query,user
750,What is the cost of this item?,price_query,user
751,How is the weather today?,weather_query,user
752,Will it rain tomorrow?,weather_query,user
753,Will it rain tomorrow?,weather_query,user
754,How is the weather today?,weather_query,user
755,Will the weather be good today?,weather_query,user
756,What is the weather like today?,weather_query,user
757,Will it rain tomorrow?,weather_query,user
758,Will it rain tomorrow?,weather_query,user
759,How is the weather today?,weather_query,user
760,How is the weather today?,weather_query,user
761,Will it rain tomorrow?,weather_query,user
762,What's the forecast for today?,weather_query,user
763,How is the weather today?,weather_query,user
764,What's the forecast for today?,weather_query,user
765,What's the forecast for today?,weather_query,user
766,How is the weather today?,weather_query,user
767,How is the weather today?,weather_query,user
768,Will it rain tomorrow?,weather_query,user
769,Will it rain tomorrow?,weather_query,user
770,What's the forecast for today?,weather_query,user
771,How is the weather today?,weather_query,user
772,Will the weather be good today?,weather_query,user
773,Will it rain tomorrow?,weather_query,user
774,What's the forecast for today?,weather_query,user
775,How is the weather today?,weather_query,user
776,What's the forecast for today?,weather_query,user
777,What is the weather like today?,weather_query,user
778,What's the forecast for today?,weather_query,user
779,What's the forecast for today?,weather_query,user
780,How is the weather today?,weather_query,user
